,true_label,pred,confidence,label
10,679.0,678.0,0.999871,true positive
11,726.0,724.0,0.9998759,true positive
13,759.0,759.0,0.9984334,true positive
15,812.0,810.0,0.9997137,true positive
16,832.0,831.0,0.99952424,true positive
17,854.0,853.0,0.9999331,true positive
19,880.0,878.0,0.9999347,true positive
20,901.0,901.0,0.99953234,true positive
21,1193.0,1193.0,0.9994282,true positive
22,1215.0,1216.0,0.99894446,true positive
24,1252.0,1252.0,0.9997888,true positive
25,1279.0,1278.0,0.9999137,true positive
26,1314.0,1314.0,0.99990153,true positive
27,1336.0,1335.0,0.99977165,true positive
28,1356.0,1355.0,0.99994457,true positive
29,,1387.0,0.99816704,false positive
30,1397.0,1396.0,0.99991834,true positive
31,1420.0,1419.0,0.9999145,true positive
