,true_label,pred,confidence,label
31,604.0,602.0,0.9998241,true positive
33,646.0,644.0,0.99997103,true positive
34,679.0,678.0,0.99993694,true positive
35,714.0,714.0,0.9997751,true positive
36,736.0,734.0,0.99997187,true positive
37,771.0,769.0,0.9999367,true positive
38,794.0,792.0,0.9999248,true positive
39,828.0,826.0,0.9998752,true positive
40,856.0,855.0,0.999881,true positive
41,893.0,891.0,0.9998956,true positive
42,923.0,922.0,0.9995135,true positive
43,943.0,942.0,0.9999199,true positive
44,1009.0,1009.0,0.99897313,true positive
45,1028.0,1027.0,0.99981207,true positive
46,1051.0,1050.0,0.9999826,true positive
47,1086.0,1085.0,0.9998834,true positive
48,1112.0,1111.0,0.99993527,true positive
50,1162.0,1161.0,0.99987495,true positive
51,1196.0,1194.0,0.99981827,true positive
52,1226.0,1224.0,0.9998851,true positive
