,true_label,pred,confidence,label
1,,167.0,0.99860626,false positive
45,,732.0,0.99862957,false positive
49,916.0,915.0,0.99994564,true positive
51,957.0,956.0,0.99952686,true positive
52,984.0,984.0,0.9999329,true positive
54,1038.0,1037.0,0.9998634,true positive
55,1062.0,1061.0,0.9998919,true positive
56,1137.0,1136.0,0.99997616,true positive
57,1159.0,1158.0,0.99994314,true positive
58,1176.0,1176.0,0.9999182,true positive
59,1197.0,1197.0,0.99987686,true positive
61,1219.0,1218.0,0.9997744,true positive
62,1241.0,1239.0,0.9999821,true positive
63,1272.0,1272.0,0.9999461,true positive
66,1334.0,1334.0,0.9999727,true positive
67,1355.0,1355.0,0.9999783,true positive
68,1379.0,1379.0,0.999887,true positive
69,1406.0,1406.0,0.9999875,true positive
70,1440.0,1440.0,0.99996364,true positive
71,1459.0,1459.0,0.99978584,true positive
72,1477.0,1477.0,0.9998666,true positive
74,1523.0,1522.0,0.99984396,true positive
75,1544.0,1544.0,0.99995196,true positive
76,1573.0,1572.0,0.9998815,true positive
77,1593.0,1593.0,0.99938965,true positive
