,true_label,pred,confidence,label
51,590.0,589.0,0.9999056,true positive
52,610.0,609.0,0.9999287,true positive
54,635.0,632.0,0.9999871,true positive
55,653.0,650.0,0.9997023,true positive
56,665.0,662.0,0.99840206,true positive
57,684.0,682.0,0.9998847,true positive
58,702.0,703.0,0.9995363,true positive
59,730.0,728.0,0.99995434,true positive
60,750.0,748.0,0.9999703,true positive
61,773.0,771.0,0.9998216,true positive
62,791.0,788.0,0.99993217,true positive
63,837.0,836.0,0.9995664,true positive
64,855.0,855.0,0.99846256,true positive
65,899.0,897.0,0.9999237,true positive
66,927.0,924.0,0.9999794,true positive
67,946.0,945.0,0.9999491,true positive
68,965.0,962.0,0.9999734,true positive
69,986.0,984.0,0.99992096,true positive
71,1048.0,1046.0,0.99996245,true positive
72,1075.0,1072.0,0.9999083,true positive
73,1099.0,1097.0,0.9992482,true positive
74,1130.0,1129.0,0.99993443,true positive
75,1152.0,1149.0,0.9999664,true positive
76,1176.0,1175.0,0.9998307,true positive
77,1210.0,1208.0,0.9999871,true positive
78,1231.0,1228.0,0.99996114,true positive
79,1251.0,1251.0,0.99977356,true positive
80,1272.0,1272.0,0.9995796,true positive
81,1297.0,1295.0,0.99962246,true positive
82,1317.0,1317.0,0.999734,true positive
83,1350.0,1349.0,0.9996698,true positive
84,1383.0,1380.0,0.99994504,true positive
85,1402.0,1400.0,0.99997556,true positive
87,1436.0,1433.0,0.9998946,true positive
88,1459.0,1457.0,0.99997723,true positive
89,1484.0,1481.0,0.9999193,true positive
90,1506.0,1504.0,0.9999901,true positive
92,1541.0,1539.0,0.9999802,true positive
93,1557.0,1555.0,0.99998295,true positive
94,1590.0,1590.0,0.9997892,true positive
95,1675.0,1673.0,0.9999906,true positive
96,1702.0,1699.0,0.99996483,true positive
97,1723.0,1720.0,0.9999901,true positive
98,1743.0,1742.0,0.99993765,true positive
99,1766.0,1764.0,0.99934524,true positive
100,1783.0,1783.0,0.9991798,true positive
101,1842.0,1843.0,0.9998609,true positive
102,1871.0,1871.0,0.9998392,true positive
103,2041.0,2039.0,0.9999896,true positive
104,2058.0,2056.0,0.99989927,true positive
105,2071.0,2071.0,0.99843365,true positive
106,2089.0,2089.0,0.99943787,true positive
107,2114.0,2112.0,0.999548,true positive
108,2128.0,2126.0,0.999765,true positive
110,2172.0,2172.0,0.99944824,true positive
111,2210.0,2207.0,0.9999014,true positive
112,2227.0,2226.0,0.99989104,true positive
113,2250.0,2249.0,0.9998155,true positive
114,2306.0,2306.0,0.999759,true positive
115,2329.0,2327.0,0.9999043,true positive
116,2363.0,2361.0,0.99902844,true positive
117,2390.0,2389.0,0.99992573,true positive
118,2415.0,2414.0,0.99990416,true positive
119,2433.0,2431.0,0.9999156,true positive
120,2450.0,2449.0,0.9999249,true positive
121,2467.0,2466.0,0.9998994,true positive
122,2536.0,2534.0,0.9985127,true positive
123,2549.0,2549.0,0.9995328,true positive
124,2577.0,2574.0,0.99995995,true positive
